Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
Aaron Cresswell,engENG,West Ham,DF,35-144,15,676,0,0,2,0,0.1,1.1,4,28,2,0,0,0.01,0.15,0,0,0,29.8,415,81.5,7803,189,87.4,53.1,7,43,4,1,28,12,1.6,0,0,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50,50,228,398,4,7,0,3,0,353,2,2,0,3,2,0,28,29,7,6,53.8,N/a,N/a,N/a,N/a
Aaron Ramsdale,engENG,Southampton,GK,26-359,27,2430,0,0,2,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,715,64.6,20052,199,96.2,38.6,0,33,1,0,0,3,0.11,0,0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2159,0,0,0,3,0,646,0,2,0,1,4,0,0,20,5,0,100,2.3,67.1,7.4,28.6
Aaron Wan-Bissaka,engENG,West Ham,DF,27-163,33,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,31.3,0.16,0.13,15.1,1321,80.5,18817,846,81.1,46,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,1,0,22,25,4,70,163,22,30,42.3,N/a,N/a,N/a,N/a
Abdoulaye Doucouré,mlMLI,Everton,MF,32-127,30,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,31,0.33,0.1,13.8,676,79.6,10229,354,83.1,72.7,26,44,14,0,78,54,2,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,5,1,46,5,10,23,139,29,43,40.3,N/a,N/a,N/a,N/a
Abdukodir Khusanov,uzUZB,Manchester City,DF,21-068,6,503,0,0,1,0,0,0.1,1,25,2,0,0,0,0.02,0,0,0,23.9,360,91.1,6126,160,97,26.1,2,23,0,0,25,5,0.89,0,0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0,100,274,435,1,1,0,2,1,332,2,1,0,3,3,0,1,27,6,4,60,N/a,N/a,N/a,N/a
Abdul Fatawu Issahaku,ghGHA,Leicester City,FW,21-061,11,579,0,2,0,0,0.4,1.6,42,17,60,0,0.31,0.06,0.24,38.5,0.78,0,31.2,123,62.4,2150,59,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42,40.6,217,1055,42,24,15,18,12,216,60,0,0,11,20,2,30,38,14,13,51.9,N/a,N/a,N/a,N/a
Adam Armstrong,engENG,Southampton,"FW,MF",28-087,20,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,28,0.5,0.08,16.6,231,80.2,3320,138,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,4,0,12,5,9,14,23,5,9,35.7,N/a,N/a,N/a,N/a
Adam Lallana,engENG,Southampton,MF,36-363,14,361,0,2,4,0,0.2,0.9,6,24,10,0,0.5,0.04,0.23,0,0,0,18.1,221,85,2891,147,91,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,4,0,8,8,0,4,19,2,2,50,N/a,N/a,N/a,N/a
Adam Smith,engENG,Bournemouth,DF,34-009,22,1409,0,0,6,0,0.7,0.3,12,40,31,0,0,0.04,0.02,0,0,0,16.9,436,75.7,7088,213,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40,40,305,585,12,15,0,10,6,333,31,6,0,15,11,0,30,43,12,13,48,N/a,N/a,N/a,N/a
Adam Webster,engENG,Brighton,DF,30-124,11,617,0,0,0,0,0,0.5,7,40,2,0,0,0,0.07,100,0.15,0,15.3,429,85.6,7934,169,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,0,0,5,2,1,1,20,17,4,81,N/a,N/a,N/a,N/a
