Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks),player_name,team,price,skill/pot
aaron ramsdale,engENG,Southampton,GK,26-359,27,2430,0,0,2,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,715,64.6,20052,199,96.2,38.6,0,33,1,0,0,3,0.11,0,0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2159,0,0,0,3,0,646,0,2,0,1,4,0,0,20,5,0,100,2.3,67.1,7.4,28.6,aaron ramsdale,Southampton,€18.7M,67.3/71.5
aaron wan-bissaka,engENG,West Ham,DF,27-163,33,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,31.3,0.16,0.13,15.1,1321,80.5,18817,846,81.1,46,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,1,0,22,25,4,70,163,22,30,42.3,N/a,N/a,N/a,N/a,aaron wan-bissaka,West Ham United,€26.9M,74.4/75.0
abdoulaye doucouré,mlMLI,Everton,MF,32-127,30,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,31,0.33,0.1,13.8,676,79.6,10229,354,83.1,72.7,26,44,14,0,78,54,2,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,5,1,46,5,10,23,139,29,43,40.3,N/a,N/a,N/a,N/a,abdoulaye doucouré,Everton,€5.8M,69.1/69.1
adam smith,engENG,Bournemouth,DF,34-009,22,1409,0,0,6,0,0.7,0.3,12,40,31,0,0,0.04,0.02,0,0,0,16.9,436,75.7,7088,213,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40,40,305,585,12,15,0,10,6,333,31,6,0,15,11,0,30,43,12,13,48,N/a,N/a,N/a,N/a,adam smith,B'mouth,€1.5M,68.5/68.7
adam wharton,engENG,Crystal Palace,MF,20-340,20,1318,0,2,2,0,0.4,3,14,107,11,0,0.14,0.03,0.21,38.5,0.34,0,25.4,548,75.6,10271,208,80.1,65.4,26,78,18,5,107,59,4.03,6,0.41,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20,80,430,1078,14,23,2,17,13,533,11,2,0,12,21,0,39,102,7,16,30.4,N/a,N/a,N/a,N/a,adam wharton,C. Palace,€48.9M,68.1/81.3
adama traoré,esESP,Fulham,"FW,MF",29-103,33,1592,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,29.7,0.62,0.05,14.3,386,72,6023,214,73.4,55.1,38,32,33,18,61,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,89,42,33,34,21,556,145,3,0,20,29,1,92,78,24,26,48,N/a,N/a,N/a,N/a,adama traoré,Fulham,€8M,68.7/68.7
alejandro garnacho,arARG,Manchester Utd,"MF,FW",20-311,34,2146,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,34.9,1.22,0.07,17.2,635,79.1,8921,395,82.9,60,35,21,24,4,56,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,139,72,66,63,48,864,281,3,0,12,41,10,52,108,3,23,11.5,N/a,N/a,N/a,N/a,alejandro garnacho,Man Utd,€60.7M,70.9/87.1
alex iwobi,ngNGA,Fulham,"FW,MF",29-005,35,2796,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,44.4,0.9,0.14,18.2,1057,74.4,18132,526,77.7,53.8,56,107,78,17,199,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,135,102,37,55,38,1345,224,1,0,17,17,5,120,126,6,31,16.2,N/a,N/a,N/a,N/a,alex iwobi,Fulham,€30.3M,76.3/76.3
alex palmer,engENG,Ipswich Town,GK,28-271,11,990,0,0,2,0,0,0,0,1,0,0,0,0,0,N/a,0,N/a,N/a,241,67.7,7340,46,100,43.8,1,7,0,0,1,2,0.18,0,0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,604,0,0,0,1,0,132,0,2,0,1,2,0,0,15,4,0,100,2.45,58.7,0,0,alex palmer,Ipswich Town,€1.6M,64.4/67.5
alexander isak,seSWE,Newcastle Utd,FW,25-229,32,2577,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,42,1.29,0.22,14.6,479,74.5,6849,285,77.4,63.2,41,33,26,1,80,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50,574,1782,81,41,43,62,52,681,200,1,0,25,13,20,15,55,26,52,33.3,N/a,N/a,N/a,N/a,alexander isak,Newcastle Utd.,€120.3M,82.0/84.9
